N,H1,H0,T1,T2,T3,T4 (max run),T5,T6(0),T8,K[+],K[-],Kdiff,PValue,Evalue,Keys,LCC Volts,Error
2637,0.9998060,1.0238564,10164,59.71840,120,15,2497,0.00820,2.80926,4.11096,2.21359,1.89737,0.99992,14.68000,12,1.644,02
2638,0.9997558,1.0267928,10184,68.51200,137,16,2498,0.00920,2.81284,4.42719,3.47851,0.94868,0.99826,18.80000,12,1.644,02
2639,0.9994702,1.0396366,10271,66.18880,104,13,2496,0.01355,2.81156,4.42719,2.84605,1.58114,0.92488,27.93200,12,1.643,02
2640,0.9997866,1.0250302,10172,78.80320,112,13,2499,0.00860,2.81199,3.63662,3.00416,0.63246,0.98794,22.59200,12,1.643,02
2641,0.9992751,1.0464740,10317,80.03200,106,12,2497,0.01585,2.80966,4.90153,2.84605,2.05548,0.89938,29.07600,12,1.653,02
2642,0.9995741,1.0354905,10243,59.89120,123,13,2497,0.01215,2.81477,3.16228,2.52982,0.63246,0.99799,19.04400,12,1.655,02
2643,0.9997478,1.0272338,10187,65.72160,123,17,2498,0.00935,2.81069,4.90153,2.37171,2.52982,0.99886,18.12400,12,1.654,02
2644,0.9990755,1.0525957,10358,65.14560,135,13,2495,0.01790,2.81601,5.37587,3.16228,2.21359,0.80291,32.26400,12,1.656,23
2645,0.9994545,1.0402298,10275,65.20960,113,11,2498,0.01375,2.80490,5.05964,2.37171,2.68794,0.97363,24.58000,12,1.655,02
2646,0.9998199,1.0229766,10158,55.11680,111,13,2499,0.00790,2.80826,4.26907,2.05548,2.21359,0.99958,16.67200,12,1.655,00
2647,0.9995086,1.0381545,10261,77.19680,108,13,2498,0.01305,2.80809,4.90153,2.52982,2.37171,0.98594,22.95600,12,1.654,02
2648,0.9995011,1.0384508,10263,66.92480,127,15,2497,0.01315,2.81432,5.21776,1.89737,3.32039,0.95585,26.10800,12,1.656,02
2649,0.9989084,1.0572415,10389,85.83040,113,12,2493,0.01945,2.80636,6.79890,2.84605,3.95285,0.50592,39.20400,12,1.656,23
2650,0.9995705,1.0356383,10244,87.98720,118,16,2497,0.01220,2.81519,6.32456,2.68794,3.63662,0.97980,23.86400,12,1.655,02
2651,0.9995670,1.0357862,10245,58.79680,124,11,2497,0.01225,2.81105,5.05964,2.84605,2.21359,0.91282,28.50000,12,1.655,02
2652,0.9995670,1.0357862,10245,53.23520,126,15,2496,0.01225,2.80926,5.21776,3.47851,1.73925,0.85260,30.77200,12,1.655,00
2653,0.9994780,1.0393400,10269,50.00320,130,13,2498,0.01345,2.81056,3.79473,1.89737,1.89737,0.99755,19.38000,12,1.655,00
2654,0.9994972,1.0385989,10264,64.60800,122,12,2498,0.01320,2.81031,3.79473,2.05548,1.73925,0.98549,23.03200,12,1.655,02
