N,H1,H0,T1,T2,T3,T4 (max run),T5,T6(0),T8,K[+],K[-],Kdiff,PValue,Evalue,Keys,LCC Volts,Error
1,0.9999515,0.9882181,9918,55.23840,119,12,2499,-0.00410,2.67411,2.05548,4.42719,2.37171,0.99982,15.55200,12,1.578,00
2,0.9999995,0.9988463,9992,37.07520,136,14,2500,-0.00040,2.68572,4.11096,3.00416,1.10680,0.99914,17.69600,12,1.580,00
3,0.9998837,0.9817931,9873,56.00000,109,13,2498,-0.00635,2.70059,3.32039,3.79473,0.47434,0.99930,17.38000,12,1.581,00
4,0.9998606,0.9800846,9861,45.79200,127,14,2499,-0.00695,2.69937,4.11096,5.21776,1.10680,0.98110,23.69200,12,1.582,00
5,0.9999986,0.9979816,9986,54.25280,116,12,2499,-0.00070,2.66899,3.47851,3.00416,0.47434,0.99997,13.62400,12,1.582,00
6,0.9999943,0.9959661,9972,61.45280,113,14,2499,-0.00140,2.69277,3.63662,2.37171,1.26491,0.99997,13.59200,12,1.572,02
7,0.9997663,0.9742624,9820,55.27040,128,13,2499,-0.00900,2.70079,3.16228,4.58530,1.42302,0.99310,21.36000,12,1.571,00
8,0.9999896,1.0054927,10038,70.43840,100,14,2499,0.00190,2.70237,3.95285,2.84605,1.10680,0.99924,17.50400,12,1.572,02
9,0.9999594,0.9892202,9925,63.55200,104,13,2499,-0.00375,2.77039,4.42719,3.63662,0.79057,0.99957,16.70800,12,1.573,02
10,0.9998818,0.9816507,9872,47.35360,108,12,2499,-0.00640,2.76753,2.68794,3.00416,0.31623,0.99999,12.91200,12,1.574,00
11,0.9999790,0.9922304,9946,53.08800,117,12,2499,-0.00270,2.77757,3.00416,3.47851,0.47434,0.99925,17.48800,12,1.575,00
12,0.9999647,0.9899363,9930,66.11840,122,13,2499,-0.00350,2.77255,2.84605,3.32039,0.47434,0.99999,12.03200,12,1.576,02
13,0.9999812,0.9926610,9949,58.24640,103,13,2499,-0.00255,2.77867,2.68794,3.47851,0.79057,0.99933,17.32400,12,1.577,02
14,0.9999993,1.0014434,10010,53.77280,129,15,2499,0.00050,2.78430,4.58530,2.37171,2.21359,0.99999,12.70400,12,1.577,00
15,0.9999955,0.9963978,9975,48.19840,121,17,2499,-0.00125,2.77287,3.00416,3.95285,0.94868,0.99932,17.34800,12,1.587,00
16,0.9999947,0.9961100,9973,64.84480,109,14,2499,-0.00135,2.76315,3.47851,4.11096,0.63246,0.99712,19.66800,12,1.597,02
17,0.9998685,1.0196090,10135,65.13280,106,15,2498,0.00675,2.77863,3.00416,3.63662,0.63246,0.99970,16.22000,12,1.598,02
18,0.9999491,1.0121698,10084,67.47520,107,13,2499,0.00420,2.78078,3.95285,3.00416,0.94868,0.99658,19.98400,12,1.598,02
19,0.9999988,1.0018767,10013,54.50240,111,14,2499,0.00065,2.76696,3.16228,3.16228,0.00000,0.99988,15.12400,12,1.596,00
20,0.9999999,1.0004329,10003,56.56960,120,12,2499,0.00015,2.77887,3.32039,4.42719,1.10680,0.98483,23.14000,12,1.598,00
21,0.9998781,1.0188780,10130,52.62080,112,13,2499,0.00650,2.78781,3.47851,3.00416,0.47434,0.99959,16.64000,12,1.588,00
22,0.9999723,1.0089726,10062,58.61760,112,13,2498,0.00310,2.77669,3.47851,2.68794,0.79057,0.99999,12.67200,12,1.589,02
23,0.9999943,0.9959661,9972,65.42080,107,12,2499,-0.00140,2.78133,3.00416,5.05964,2.05548,0.99983,15.47200,12,1.590,02
24,0.9999550,0.9886475,9921,78.53440,112,13,2499,-0.00395,2.78166,2.68794,4.11096,1.42302,0.99930,17.38800,12,1.588,02
25,1.0000000,1.0001443,10001,46.70080,124,12,2499,0.00005,2.78154,3.16228,3.47851,0.31623,0.99999,12.75600,12,1.589,00
26,0.9999797,1.0076666,10053,70.29120,101,12,2499,0.00265,2.76847,4.42719,2.21359,2.21359,0.99972,16.10800,12,1.589,02
27,0.9999766,0.9918000,9943,36.89600,122,13,2500,-0.00285,2.77180,4.42719,3.32039,1.10680,0.99996,13.78800,12,1.587,00
28,0.9997663,0.9742624,9820,48.72960,118,15,2499,-0.00900,2.77313,1.10680,3.79473,2.68794,1.00000,11.16000,12,1.589,00
29,0.9999999,0.9994230,9996,75.81440,119,15,2499,-0.00020,2.76806,2.68794,2.52982,0.15811,0.99998,12.98400,12,1.590,02
30,0.9999984,0.9978376,9985,46.03520,109,13,2499,-0.00075,2.76274,2.68794,4.42719,1.73925,0.99777,19.22000,12,1.590,00
31,0.9999854,1.0065068,10045,52.92160,121,13,2499,0.00225,2.77800,5.05964,4.42719,0.63246,0.98649,22.86000,12,1.589,00
32,0.9999962,0.9966856,9977,55.74400,126,13,2499,-0.00115,2.76757,2.84605,3.32039,0.47434,0.99945,17.02800,12,1.589,00
33,0.9999974,1.0027437,10019,40.98560,122,13,2499,0.00095,2.78219,4.11096,3.32039,0.79057,0.99829,18.77200,12,1.591,00
34,0.9999931,0.9955346,9969,75.05920,97,11,2499,-0.00155,2.77532,3.63662,3.16228,0.47434,0.99934,17.30000,12,1.581,02
35,0.9999389,0.9867879,9908,44.51200,115,14,2499,-0.00460,2.77310,3.00416,3.63662,0.63246,0.99517,20.64000,12,1.591,00
36,0.9999834,1.0069416,10048,37.24160,134,14,2499,0.00240,2.77885,4.11096,3.79473,0.31623,0.99970,16.20800,12,1.592,00
37,0.9999999,1.0005772,10004,47.72480,112,14,2499,0.00020,2.77146,3.63662,2.68794,0.94868,0.99999,12.08000,12,1.602,00
38,0.9998705,1.0194628,10134,59.76320,134,13,2499,0.00670,2.78301,3.00416,3.32039,0.31623,0.99904,17.85600,12,1.603,02
39,0.9999441,1.0127519,10088,35.53280,119,12,2499,0.00440,2.77381,3.79473,2.52982,1.26491,0.99999,12.67200,12,1.604,00
40,0.9998762,1.0190242,10131,47.65440,131,14,2499,0.00655,2.77740,3.79473,5.37587,1.58114,0.99961,16.56400,12,1.605,00
41,0.9999912,1.0050583,10035,46.96320,122,14,2499,0.00175,2.77527,3.63662,3.32039,0.31623,0.99978,15.81200,12,1.605,00
42,0.9998153,1.0232698,10160,72.66560,137,11,2498,0.00800,2.76784,5.05964,2.68794,2.37171,0.99336,21.28000,12,1.603,02
43,0.9999988,1.0018767,10013,55.59040,139,15,2499,0.00065,2.78802,4.74342,2.68794,2.05548,0.99871,18.30800,12,1.613,00
44,0.9999335,1.0139168,10096,49.24160,122,14,2499,0.00480,2.76865,3.32039,2.37171,0.94868,1.00000,11.67200,12,1.613,00
45,0.9999996,1.0010102,10007,49.44640,113,13,2499,0.00035,2.77783,5.21776,3.95285,1.26491,0.98946,22.28400,12,1.611,00
46,0.9999647,1.0101344,10070,47.76960,110,15,2499,0.00350,2.77234,3.00416,2.68794,0.31623,0.99962,16.53600,12,1.610,00
47,0.9999749,1.0085371,10059,56.56320,112,13,2499,0.00295,2.77922,3.47851,4.26907,0.79057,0.99355,21.22000,12,1.611,00
48,0.9998245,1.0226834,10156,62.98240,113,13,2498,0.00780,2.77531,3.32039,3.00416,0.31623,1.00000,11.91200,12,1.611,02
49,0.9999714,1.0091177,10063,78.77120,100,15,2499,0.00315,2.77857,3.47851,2.21359,1.26491,0.99999,12.92400,12,1.611,02
50,0.9997866,1.0250302,10172,84.09600,114,14,2498,0.00860,2.76409,4.74342,2.05548,2.68794,0.99423,20.99200,12,1.611,02
51,0.9999127,1.0159576,10110,45.08800,106,14,2499,0.00550,2.79315,3.32039,3.00416,0.31623,0.99941,17.12800,12,1.611,00
52,0.9999797,1.0076666,10053,69.19680,104,13,2499,0.00265,2.77317,4.74342,2.68794,2.05548,0.99947,16.99600,12,1.610,02
53,0.9997423,1.0275279,10189,62.81600,100,13,2496,0.00945,2.78067,4.90153,4.26907,0.63246,0.87060,30.16400,12,1.609,02
54,0.9998818,1.0185857,10128,43.27680,112,15,2499,0.00640,2.78312,3.95285,2.21359,1.73925,0.99861,18.43200,12,1.599,00
55,0.9999854,1.0065068,10045,35.54560,154,13,2499,0.00225,2.76772,3.63662,3.95285,0.31623,0.99908,17.78800,12,1.609,00
56,0.9999029,1.0168331,10116,46.45120,118,13,2498,0.00580,2.78242,4.26907,2.52982,1.73925,0.99841,18.64800,12,1.619,00
57,0.9997368,1.0278220,10191,67.62240,112,11,2499,0.00955,2.78792,3.63662,1.26491,2.37171,0.99974,16.04400,12,1.619,02
58,0.9997143,1.0289991,10199,67.69920,124,14,2497,0.00995,2.78676,3.63662,2.84605,0.79057,0.99874,18.27600,12,1.618,02
59,0.9999335,1.0139168,10096,60.02560,113,12,2498,0.00480,2.77084,4.11096,4.42719,0.31623,0.99174,21.74400,12,1.618,02
60,0.9999890,1.0056375,10039,60.80000,106,13,2499,0.00195,2.77276,4.26907,3.32039,0.94868,0.99855,18.50000,12,1.618,02
61,0.9999666,1.0098438,10068,63.21280,123,13,2499,0.00340,2.78359,2.21359,2.84605,0.63246,1.00000,11.44800,12,1.620,02
62,0.9999572,1.0111517,10077,50.57280,112,12,2499,0.00385,2.78037,4.90153,3.00416,1.89737,0.99894,18.01200,12,1.621,00
63,0.9999890,1.0056375,10039,45.45920,117,12,2499,0.00195,2.78273,4.26907,3.32039,0.94868,0.99927,17.44400,12,1.620,00
64,0.9999441,1.0127519,10088,91.00800,119,14,2499,0.00440,2.79276,3.16228,2.84605,0.31623,0.99999,12.72000,12,1.620,02
65,0.9997766,1.0256175,10176,47.73760,104,14,2498,0.00880,2.78131,3.79473,2.52982,1.26491,0.99930,17.39200,12,1.619,00
66,0.9999159,1.0156659,10108,60.00640,104,12,2499,0.00540,2.76985,4.74342,2.68794,2.05548,0.99986,15.31200,12,1.619,02
67,0.9998762,1.0190242,10131,39.43680,123,12,2499,0.00655,2.77308,3.32039,2.37171,0.94868,0.99997,13.57200,12,1.618,00
68,0.9998107,1.0235630,10162,70.16320,119,16,2499,0.00810,2.77732,3.95285,2.37171,1.58114,0.99995,14.11200,12,1.617,02
69,0.9999250,1.0147911,10102,53.39520,112,13,2499,0.00510,2.77193,3.79473,2.05548,1.73925,0.99991,14.80000,12,1.617,00
70,0.9999503,1.0120243,10083,34.50880,125,14,2498,0.00415,2.77223,3.79473,2.21359,1.58114,0.99973,16.06000,12,1.618,00
71,0.9997368,1.0278220,10191,66.70080,110,13,2494,0.00955,2.77669,4.90153,3.95285,0.94868,0.73713,33.98000,12,1.617,02
72,0.9999127,1.0159576,10110,28.81280,126,12,2499,0.00550,2.78768,3.95285,2.21359,1.73925,0.99987,15.16800,12,1.618,00
73,0.9999990,1.0017323,10012,70.36800,113,16,2500,0.00060,2.77842,3.79473,5.69210,1.89737,0.97630,24.28800,12,1.618,02
74,0.9999723,1.0089726,10062,74.11840,119,13,2498,0.00310,2.77468,3.16228,3.32039,0.15811,0.99993,14.43200,12,1.618,02
75,0.9997086,1.0292936,10201,56.40320,122,14,2497,0.01005,2.77808,3.95285,2.52982,1.42302,0.99787,19.14000,12,1.618,00
76,0.9999279,1.0144996,10100,45.76000,123,12,2499,0.00500,2.78055,5.21776,2.52982,2.68794,0.99978,15.80800,12,1.620,00
77,0.9998996,1.0171250,10118,39.95520,127,12,2499,0.00590,2.77281,3.47851,3.47851,0.00000,0.99888,18.08800,12,1.621,00
78,0.9999998,1.0007215,10005,49.80480,123,13,2499,0.00025,2.78975,3.16228,3.00416,0.15811,0.99997,13.49200,12,1.621,00
79,0.9998222,1.0228300,10157,78.72640,95,12,2499,0.00785,2.78268,4.11096,3.47851,0.63246,0.99311,21.35600,12,1.620,02
80,0.9997558,1.0267928,10184,73.71520,107,15,2498,0.00920,2.77376,3.32039,2.52982,0.79057,0.99660,19.96800,12,1.620,02
81,0.9998107,1.0235630,10162,66.64320,98,14,2499,0.00810,2.77412,4.26907,3.32039,0.94868,0.99874,18.27200,12,1.622,02
82,0.9997115,1.0291463,10200,71.54560,119,14,2499,0.01000,2.79002,4.11096,2.05548,2.05548,0.99986,15.31200,12,1.612,02
83,0.9999666,1.0098438,10068,38.62400,112,15,2499,0.00340,2.76834,4.11096,2.68794,1.42302,0.99866,18.36800,12,1.611,00
84,0.9998504,1.0209258,10144,52.69120,102,14,2499,0.00720,2.78475,4.74342,2.05548,2.68794,0.99966,16.40000,12,1.610,00
85,0.9999174,1.0155200,10107,73.90080,127,15,2499,0.00535,2.77750,4.11096,2.84605,1.26491,0.98792,22.59600,12,1.611,02
86,0.9998685,1.0196090,10135,81.77920,98,13,2499,0.00675,2.77886,3.95285,2.21359,1.73925,0.99837,18.69200,12,1.611,02
87,0.9999063,1.0165412,10114,92.87680,105,14,2499,0.00570,2.78062,3.47851,3.16228,0.31623,0.99998,13.41600,12,1.610,02
88,0.9998130,1.0234164,10161,63.39840,121,12,2498,0.00805,2.78736,3.95285,3.16228,0.79057,0.99510,20.66800,12,1.600,02
89,0.9999873,1.0060721,10042,30.24640,124,12,2500,0.00210,2.78300,3.16228,3.00416,0.15811,0.99993,14.52000,12,1.610,00
90,0.9999890,0.9943844,9961,47.49440,129,13,2499,-0.00195,2.77881,3.00416,4.74342,1.73925,0.99621,20.17200,12,1.600,00
91,0.9999636,1.0102797,10071,62.96320,115,14,2499,0.00355,2.78345,3.16228,3.95285,0.79057,0.99708,19.69200,12,1.601,02
92,1.0000000,0.9997115,9998,47.48800,105,12,2499,-0.00010,2.76811,3.95285,3.63662,0.31623,0.99980,15.68800,12,1.602,00
93,0.9999264,1.0146453,10101,44.83200,114,11,2499,0.00505,2.77785,3.16228,2.21359,0.94868,0.99998,13.10000,12,1.603,00
94,0.9999676,1.0096986,10067,56.67200,127,13,2499,0.00335,2.78026,3.32039,3.16228,0.15811,0.99953,16.82800,12,1.603,00
95,0.9999984,1.0021657,10015,44.67840,115,11,2499,0.00075,2.77779,3.32039,3.32039,0.00000,0.99993,14.45200,12,1.603,00
96,0.9999389,1.0133342,10092,66.73280,135,14,2498,0.00460,2.77240,4.11096,2.68794,1.42302,0.99573,20.40000,12,1.602,02
97,0.9999943,1.0040452,10028,41.31200,122,15,2499,0.00140,2.77317,4.26907,3.16228,1.10680,0.99936,17.26400,12,1.603,00
98,0.9998961,1.0174171,10120,32.87040,133,13,2499,0.00600,2.77669,5.53399,3.16228,2.37171,0.94104,27.06400,12,1.603,00
99,0.9999797,1.0076666,10053,50.99520,140,14,2499,0.00265,2.76721,4.11096,4.42719,0.31623,0.99119,21.88400,12,1.605,00
100,1.0000000,0.9997115,9998,80.63360,118,12,2499,-0.00010,2.78254,3.00416,2.68794,0.31623,0.99997,13.60800,12,1.607,02
101,0.9999657,1.0099891,10069,47.54560,127,13,2499,0.00345,2.77580,3.63662,2.84605,0.79057,0.99985,15.31600,12,1.607,00
102,0.9996819,1.0306192,10210,53.92000,122,14,2497,0.01050,2.78089,3.95285,2.05548,1.89737,0.99930,17.37600,12,1.607,00
103,0.9999616,1.0105703,10073,43.44320,114,14,2499,0.00365,2.79139,3.32039,2.84605,0.47434,0.99995,14.18000,12,1.606,00
104,0.9999977,1.0025992,10018,55.94240,104,16,2498,0.00090,2.77777,3.63662,3.95285,0.31623,0.99952,16.84800,12,1.616,00
105,0.9999805,1.0075216,10052,42.84160,134,14,2499,0.00260,2.78879,2.05548,2.05548,0.00000,1.00000,8.90400,12,1.617,00
106,0.9998289,1.0223904,10154,71.94240,108,13,2499,0.00770,2.78579,3.32039,2.37171,0.94868,0.99911,17.73600,12,1.607,02
107,0.9995810,1.0351948,10241,58.86720,129,14,2497,0.01205,2.79010,3.79473,1.89737,1.89737,0.99905,17.84400,12,1.607,02
108,0.9999594,1.0108610,10075,69.55520,121,11,2498,0.00375,2.77421,6.00833,3.00416,3.00416,0.98833,22.51600,12,1.617,02
109,0.9999636,1.0102797,10071,78.45760,124,15,2498,0.00355,2.78640,3.47851,2.37171,1.10680,0.99986,15.26800,12,1.627,02
110,0.9997478,1.0272338,10187,71.95520,128,13,2498,0.00935,2.77896,3.95285,1.89737,2.05548,0.99982,15.59600,12,1.629,02
111,0.9994223,1.0414171,10283,62.68800,110,13,2497,0.01415,2.79496,4.11096,2.68794,1.42302,0.99892,18.02800,12,1.631,02
112,0.9999095,1.0162494,10112,33.70880,116,18,2499,0.00560,2.79178,3.47851,4.11096,0.63246,0.98205,23.56000,12,1.632,00
113,0.9997115,1.0291463,10200,69.43360,124,13,2496,0.01000,2.78077,4.11096,2.52982,1.58114,0.99439,20.93600,12,1.642,02
114,0.9998355,1.0219508,10151,52.32000,132,14,2498,0.00755,2.78332,4.58530,3.16228,1.42302,0.98849,22.48400,12,1.642,00
115,0.9995982,1.0344558,10236,78.88640,117,13,2497,0.01180,2.77147,4.42719,1.89737,2.52982,0.99694,19.77600,12,1.642,02
116,0.9993680,1.0433485,10296,84.09600,103,12,2494,0.01480,2.77487,4.58530,2.21359,2.37171,0.98520,23.08000,12,1.644,02
117,0.9992933,1.0458782,10313,68.97280,103,14,2497,0.01565,2.77741,5.21776,1.58114,3.63662,0.96345,25.52400,12,1.654,02
118,0.9994858,1.0390435,10267,73.92000,108,12,2499,0.01335,2.77668,4.58530,1.89737,2.68794,0.97584,24.34000,12,1.654,02
119,0.9989308,1.0566412,10385,67.04640,130,13,2497,0.01925,2.78942,4.42719,2.21359,2.21359,0.60951,36.92400,12,1.654,23
120,0.9996151,1.0337172,10231,78.43200,103,13,2499,0.01155,2.79605,3.95285,2.21359,1.73925,0.99819,18.86800,12,1.654,02
121,0.9995011,1.0384508,10263,91.31520,114,15,2498,0.01315,2.78792,5.85021,2.37171,3.47851,0.98098,23.70800,12,1.655,02
122,0.9993290,1.0446872,10305,61.47200,129,16,2498,0.01525,2.78355,3.95285,2.05548,1.89737,0.97869,24.00400,12,1.665,02
123,0.9985907,1.0652193,10442,85.93280,131,12,2497,0.02210,2.77553,6.32456,1.73925,4.58530,0.66328,35.72000,12,1.664,23
124,0.9993157,1.0451337,10308,80.38400,103,13,2497,0.01540,2.79172,6.32456,2.37171,3.95285,0.93712,27.28800,12,1.666,02
125,0.9995635,1.0359341,10246,84.40960,106,13,2498,0.01230,2.78892,3.79473,2.05548,1.73925,0.99517,20.64000,12,1.667,02
126,0.9993551,1.0437946,10299,75.62240,130,13,2497,0.01495,2.78234,3.79473,1.10680,2.68794,0.99883,18.15600,12,1.666,02
127,0.9989363,1.0564912,10384,76.29440,115,13,2497,0.01920,2.78011,5.05964,2.52982,2.52982,0.69556,34.97600,12,1.665,23
128,0.9990547,1.0531943,10362,89.70880,125,13,2496,0.01810,2.77890,4.74342,1.73925,3.00416,0.71853,34.43200,12,1.665,23
129,0.9997172,1.0288519,10198,96.34560,120,13,2498,0.00990,2.77935,3.79473,2.68794,1.10680,0.99858,18.46400,12,1.667,02
130,0.9992521,1.0472192,10322,67.86560,117,13,2496,0.01610,2.78495,5.53399,1.73925,3.79473,0.96568,25.33600,12,1.667,02
131,0.9992978,1.0457292,10312,74.50880,119,13,2497,0.01560,2.79390,3.16228,2.84605,0.31623,0.99078,21.98400,12,1.668,02
132,0.9985651,1.0658232,10446,115.08480,91,12,2495,0.02230,2.79203,4.74342,2.05548,2.68794,0.77876,32.92000,12,1.678,23
133,0.9986413,1.0640123,10434,80.43520,121,14,2493,0.02170,2.79096,4.58530,0.94868,3.63662,0.84576,30.99200,12,1.678,23
134,0.9985328,1.0665784,10451,102.67520,115,14,2492,0.02255,2.77691,4.90153,2.21359,2.68794,0.63971,36.25200,12,1.677,23
135,0.9990337,1.0537932,10366,81.48480,119,12,2496,0.01830,2.79154,5.21776,2.52982,2.68794,0.78207,32.83200,12,1.675,23
136,0.9988915,1.0576919,10392,63.94880,120,14,2493,0.01960,2.79440,4.42719,2.05548,2.37171,0.91148,28.56000,12,1.676,23
137,0.9990071,1.0545421,10371,87.18080,126,12,2495,0.01855,2.79725,4.42719,1.26491,3.16228,0.85013,30.85200,12,1.676,23
138,0.9993377,1.0443896,10303,90.96960,114,12,2498,0.01515,2.79300,4.26907,2.84605,1.42302,0.88448,29.66000,12,1.675,02
139,0.9993334,1.0445384,10304,49.42080,99,13,2497,0.01520,2.78658,3.16228,3.16228,0.00000,0.98902,22.37600,12,1.676,00
140,0.9989196,1.0569414,10387,72.88320,147,13,2495,0.01935,2.79564,6.32456,2.37171,3.95285,0.49655,39.41200,12,1.676,23
141,0.9992474,1.0473682,10323,67.73760,133,16,2498,0.01615,2.78763,5.05964,2.21359,2.84605,0.86900,30.22000,12,1.678,02
142,0.9986224,1.0644648,10437,89.33120,131,16,2495,0.02185,2.79286,4.42719,1.58114,2.84605,0.69059,35.09200,12,1.668,23
143,0.9989196,1.0569414,10387,70.16960,117,13,2496,0.01935,2.76763,4.58530,1.58114,3.00416,0.93517,27.39600,12,1.666,23
144,0.9991759,1.0496062,10338,73.31840,127,12,2498,0.01690,2.78798,3.63662,1.89737,1.73925,0.96749,25.17600,12,1.665,02
145,0.9992797,1.0463250,10316,89.57440,120,13,2498,0.01580,2.79980,6.48267,2.37171,4.11096,0.87854,29.88000,12,1.666,02
146,0.9994264,1.0412687,10282,58.47680,133,13,2498,0.01410,2.79105,5.69210,1.89737,3.79473,0.93669,27.31200,12,1.666,02
147,0.9989856,1.0551416,10375,81.48480,125,14,2496,0.01875,2.78459,4.58530,1.89737,2.68794,0.87286,30.08400,12,1.666,23
148,0.9996413,1.0325362,10223,64.88960,117,14,2497,0.01115,2.79151,4.42719,2.37171,2.05548,0.98942,22.29200,12,1.676,02
149,0.9991062,1.0516982,10352,71.34080,119,12,2496,0.01760,2.77689,4.58530,1.26491,3.32039,0.97559,24.36800,12,1.666,23
150,0.9995383,1.0369699,10253,56.18560,138,12,2497,0.01265,2.78601,4.42719,1.10680,3.32039,0.99807,18.97200,12,1.666,00
151,0.9996117,1.0338649,10232,51.53280,102,14,2497,0.01160,2.78911,3.16228,2.37171,0.79057,0.99803,19.00800,12,1.665,00
152,0.9990651,1.0528949,10360,85.77920,97,13,2495,0.01800,2.79846,4.42719,1.73925,2.68794,0.92751,27.80000,12,1.664,23
153,0.9998012,1.0241497,10166,50.81600,115,16,2498,0.00830,2.78704,3.47851,4.11096,0.63246,0.99864,18.39200,12,1.664,00
154,0.9996572,1.0317986,10218,67.11040,110,14,2499,0.01090,2.79276,3.63662,2.21359,1.42302,0.99740,19.48800,12,1.664,02
155,0.9988401,1.0590440,10401,93.41440,132,12,2497,0.02005,2.79317,5.37587,2.05548,3.32039,0.80704,32.14800,12,1.662,23
156,0.9994304,1.0411202,10281,77.06240,119,12,2499,0.01405,2.77897,4.90153,4.42719,0.47434,0.93561,27.37200,12,1.660,02
157,0.9993377,1.0443896,10303,90.25920,111,12,2498,0.01515,2.77800,3.95285,1.73925,2.21359,0.95835,25.92400,12,1.670,02
158,0.9987093,1.0623543,10423,83.30880,125,12,2496,0.02115,2.79407,5.05964,1.26491,3.79473,0.70323,34.79600,12,1.680,23
159,0.9989028,1.0573917,10390,85.30560,130,13,2497,0.01950,2.77883,6.95701,1.89737,5.05964,0.51623,38.97600,12,1.682,23
160,0.9983518,1.0706635,10478,97.42080,148,13,2494,0.02390,2.78416,4.74342,1.26491,3.47851,0.46494,40.12000,12,1.681,23
161,0.9991856,1.0493076,10336,70.09280,114,12,2498,0.01680,2.78613,3.79473,1.89737,1.89737,0.95317,26.29600,12,1.671,02
162,0.9994182,1.0415656,10284,86.52800,113,16,2497,0.01420,2.79921,4.74342,3.47851,1.26491,0.95105,26.44000,12,1.670,02
163,0.9994182,1.0415656,10284,78.69440,124,13,2499,0.01420,2.78548,5.05964,3.79473,1.26491,0.89771,29.14400,12,1.670,02
164,0.9985971,1.0650684,10441,98.59840,122,16,2495,0.02205,2.78000,4.58530,2.05548,2.52982,0.57573,37.66800,12,1.670,23
165,0.9988516,1.0587434,10399,65.75360,124,16,2492,0.01995,2.78684,4.74342,1.73925,3.00416,0.88191,29.75600,12,1.671,23
166,0.9991011,1.0518477,10353,68.64000,122,15,2497,0.01765,2.79914,4.26907,1.89737,2.37171,0.94929,26.55600,12,1.671,23
167,0.9992978,1.0457292,10312,67.02080,124,13,2497,0.01560,2.79061,5.69210,3.79473,1.89737,0.81392,31.95200,12,1.671,02
168,0.9989802,1.0552915,10376,108.53120,109,13,2497,0.01880,2.77811,5.53399,1.89737,3.63662,0.90560,28.81600,12,1.672,23
169,0.9991710,1.0497556,10339,78.19520,121,13,2494,0.01695,2.79506,5.05964,1.10680,3.95285,0.94767,26.66000,12,1.671,02
170,0.9992659,1.0467720,10319,76.44800,115,12,2499,0.01595,2.79425,5.85021,2.84605,3.00416,0.76512,33.27600,12,1.681,02
171,0.9978100,1.0817664,10551,101.41440,109,16,2491,0.02755,2.77704,6.00833,0.31623,5.69210,0.23533,46.07600,12,1.683,23
172,0.9982325,1.0732415,10495,87.16160,137,13,2492,0.02475,2.79315,6.16644,1.42302,4.74342,0.21897,46.61200,12,1.682,23
173,0.9987517,1.0613002,10416,103.89120,120,12,2497,0.02080,2.79464,5.05964,1.42302,3.63662,0.70948,34.64800,12,1.680,23
174,0.9986098,1.0647666,10439,83.43680,109,14,2495,0.02195,2.78656,4.90153,1.58114,3.32039,0.68990,35.10800,12,1.690,23
175,0.9985587,1.0659742,10447,105.58720,114,14,2494,0.02235,2.79884,4.42719,2.05548,2.37171,0.62178,36.65200,12,1.680,23
176,0.9986848,1.0629570,10427,107.62880,110,12,2495,0.02135,2.79135,5.85021,0.79057,5.05964,0.88039,29.81200,12,1.682,23
177,0.9991163,1.0513992,10350,64.37120,126,13,2493,0.01750,2.79484,5.21776,2.05548,3.16228,0.93451,27.43200,12,1.683,23
178,0.9993933,1.0424568,10290,80.87040,117,12,2496,0.01450,2.79624,4.26907,2.05548,2.21359,0.97336,24.60800,12,1.685,02
179,0.9990599,1.0530446,10361,93.12000,124,15,2495,0.01805,2.78502,4.74342,1.10680,3.63662,0.93547,27.38000,12,1.686,23
180,0.9986098,1.0647666,10439,80.74240,106,13,2488,0.02195,2.79753,5.05964,3.63662,1.42302,0.27563,44.85200,12,1.687,23
181,0.9992797,1.0463250,10316,93.20960,106,11,2495,0.01580,2.78850,5.37587,2.52982,2.84605,0.91538,28.38400,12,1.685,02
182,0.9986035,1.0649175,10440,108.61440,106,12,2493,0.02200,2.78249,4.74342,2.68794,2.05548,0.68490,35.22400,12,1.684,23
183,0.9979121,1.0797829,10538,113.29920,109,13,2491,0.02690,2.78560,6.00833,3.00416,3.00416,0.12202,50.57600,12,1.685,23
184,0.9990495,1.0533440,10363,87.69920,117,13,2496,0.01815,2.78943,4.74342,1.89737,2.84605,0.93605,27.34800,12,1.685,23
185,0.9989363,1.0564912,10384,61.99680,146,13,2495,0.01920,2.77789,5.37587,1.26491,4.11096,0.80262,32.27200,12,1.685,23
186,0.9984201,1.0691491,10468,88.58880,130,13,2493,0.02340,2.78912,5.37587,0.94868,4.42719,0.80605,32.17600,12,1.684,23
187,0.9991661,1.0499049,10340,86.47040,121,15,2496,0.01700,2.79074,4.90153,3.16228,1.73925,0.87343,30.06400,12,1.684,02
188,0.9984803,1.0677876,10459,104.40960,135,13,2494,0.02295,2.79256,4.74342,1.58114,3.16228,0.66451,35.69200,12,1.683,23
189,0.9994505,1.0403782,10276,58.09280,124,14,2495,0.01380,2.78871,5.85021,5.53399,0.31623,0.81807,31.83200,12,1.684,02
190,0.9990495,1.0533440,10363,66.62400,112,15,2498,0.01815,2.78624,4.90153,2.68794,2.21359,0.78551,32.74000,12,1.684,23
191,0.9988051,1.0599460,10407,77.39520,127,17,2499,0.02035,2.79039,5.37587,2.68794,2.68794,0.71936,34.41200,12,1.685,23
192,0.9982468,1.0729379,10493,87.34080,122,16,2491,0.02465,2.79354,4.74342,1.10680,3.63662,0.49979,39.34000,12,1.684,23
193,0.9989028,1.0573917,10390,75.36640,129,14,2496,0.01950,2.79437,5.05964,1.42302,3.63662,0.80491,32.20800,12,1.685,23
